==============================================================================
    step     energy [au]  potential [au]  temp [K]  wall clock time           
     158   -202.02695855   -206.51943971    303.66  2022-01-12 Wed 19:48:24.89
     159   -202.02695796   -206.52024200    304.06  2022-01-12 Wed 19:48:35.66
     160   -202.02695727   -206.52113284    304.82  2022-01-12 Wed 19:48:46.45
     161   -202.02695653   -206.52206461    305.49  2022-01-12 Wed 19:48:57.14
     162   -202.02695532   -206.52299180    305.48  2022-01-12 Wed 19:49:08.20
     163   -202.02695355   -206.52386295    304.92  2022-01-12 Wed 19:49:18.92
     164   -202.02695143   -206.52463535    304.29  2022-01-12 Wed 19:49:30.90
     165   -202.02694967   -206.52527291    303.62  2022-01-12 Wed 19:49:41.65
     166   -202.02694856   -206.52574335    302.70  2022-01-12 Wed 19:49:52.37
     167   -202.02694808   -206.52603135    301.55  2022-01-12 Wed 19:50:03.12
     168   -202.02694805   -206.52615127    300.71  2022-01-12 Wed 19:50:13.79
     169   -202.02694760   -206.52610801    300.90  2022-01-12 Wed 19:50:24.37
     170   -202.02694542   -206.52583546    301.95  2022-01-12 Wed 19:50:35.05
     171   -202.02694098   -206.52523700    302.22  2022-01-12 Wed 19:50:45.85
     172   -202.02693577   -206.52434632    300.38  2022-01-12 Wed 19:50:56.81
     173   -202.02693182   -206.52336894    297.43  2022-01-12 Wed 19:51:07.67
     174   -202.02692988   -206.52252005    294.98  2022-01-12 Wed 19:51:18.26
     175   -202.02692986   -206.52189458    293.63  2022-01-12 Wed 19:51:29.77
     176   -202.02693132   -206.52145901    293.00  2022-01-12 Wed 19:51:40.43
     177   -202.02693353   -206.52111768    292.13  2022-01-12 Wed 19:51:51.35
     178   -202.02693553   -206.52080332    290.45  2022-01-12 Wed 19:52:01.91
     179   -202.02693704   -206.52050906    288.58  2022-01-12 Wed 19:52:13.66
     180   -202.02693795   -206.52025313    287.37  2022-01-12 Wed 19:52:24.33
     181   -202.02693876   -206.52004996    287.07  2022-01-12 Wed 19:52:35.25
     182   -202.02693961   -206.51989973    287.59  2022-01-12 Wed 19:52:45.87
     183   -202.02694097   -206.51977566    288.67  2022-01-12 Wed 19:52:56.59
     184   -202.02694241   -206.51961706    290.02  2022-01-12 Wed 19:53:07.37
     185   -202.02694285   -206.51934618    291.40  2022-01-12 Wed 19:53:18.10
     186   -202.02694031   -206.51890752    292.69  2022-01-12 Wed 19:53:29.54
     187   -202.02693327   -206.51829437    293.82  2022-01-12 Wed 19:53:40.27
     188   -202.02692128   -206.51752887    294.71  2022-01-12 Wed 19:53:51.09
     189   -202.02690530   -206.51662430    295.45  2022-01-12 Wed 19:54:01.89
     190   -202.02688771   -206.51558837    296.17  2022-01-12 Wed 19:54:13.64
     191   -202.02687273   -206.51449233    296.01  2022-01-12 Wed 19:54:24.90
     192   -202.02686451   -206.51359445    294.35  2022-01-12 Wed 19:54:36.21
     193   -202.02686697   -206.51330352    293.33  2022-01-12 Wed 19:54:46.91
     194   -202.02687715   -206.51384001    294.99  2022-01-12 Wed 19:54:57.90
     195   -202.02688802   -206.51496199    298.53  2022-01-12 Wed 19:55:08.93
     196   -202.02689495   -206.51617159    300.84  2022-01-12 Wed 19:55:20.49
     197   -202.02689842   -206.51718667    301.44  2022-01-12 Wed 19:55:31.20
     198   -202.02690033   -206.51796826    302.22  2022-01-12 Wed 19:55:41.97
     199   -202.02690110   -206.51852891    303.23  2022-01-12 Wed 19:55:52.71
     200   -202.02690098   -206.51891442    303.66  2022-01-12 Wed 19:56:03.43
     201   -202.02690086   -206.51916857    303.24  2022-01-12 Wed 19:56:14.12
     202   -202.02689976   -206.51929279    302.39  2022-01-12 Wed 19:56:24.73
     203   -202.02689903   -206.51933339    302.13  2022-01-12 Wed 19:56:35.33
     204   -202.02689854   -206.51932728    303.07  2022-01-12 Wed 19:56:45.96
     205   -202.02689870   -206.51921613    305.99  2022-01-12 Wed 19:56:56.63
     206   -202.02690015   -206.51892944    308.98  2022-01-12 Wed 19:57:07.27
     207   -202.02690100   -206.51862789    308.53  2022-01-12 Wed 19:57:17.94
     208   -202.02690191   -206.51851407    307.90  2022-01-12 Wed 19:57:28.61
     209   -202.02690207   -206.51855748    309.12  2022-01-12 Wed 19:57:39.33
     210   -202.02690150   -206.51867157    311.19  2022-01-12 Wed 19:57:50.06
     211   -202.02690030   -206.51883636    312.94  2022-01-12 Wed 19:58:00.81
     212   -202.02689906   -206.51906174    314.64  2022-01-12 Wed 19:58:11.60
     213   -202.02689761   -206.51931245    316.39  2022-01-12 Wed 19:58:22.84
     214   -202.02689544   -206.51953447    317.79  2022-01-12 Wed 19:58:33.63
     215   -202.02689208   -206.51972019    318.66  2022-01-12 Wed 19:58:44.42
     216   -202.02688865   -206.51993409    319.17  2022-01-12 Wed 19:58:55.20
     217   -202.02688684   -206.52032169    319.60  2022-01-12 Wed 19:59:06.07
     218   -202.02688727   -206.52101816    320.31  2022-01-12 Wed 19:59:16.67
     219   -202.02688819   -206.52194947    320.93  2022-01-12 Wed 19:59:27.50
     220   -202.02688787   -206.52284191    320.95  2022-01-12 Wed 19:59:38.05
