==============================================================================
    step     energy [au]  potential [au]  temp [K]  wall clock time           
     693   -202.02652392   -206.53420347    295.24  2022-01-12 Wed 21:24:23.68
     694   -202.02653067   -206.53479353    296.41  2022-01-12 Wed 21:24:34.36
     695   -202.02653653   -206.53497703    296.92  2022-01-12 Wed 21:24:45.33
     696   -202.02654092   -206.53455442    296.61  2022-01-12 Wed 21:24:56.33
     697   -202.02654221   -206.53354746    295.68  2022-01-12 Wed 21:25:07.25
     698   -202.02654111   -206.53209804    294.59  2022-01-12 Wed 21:25:18.41
     699   -202.02653700   -206.53031756    292.75  2022-01-12 Wed 21:25:29.13
     700   -202.02653003   -206.52834168    290.12  2022-01-12 Wed 21:25:40.09
     701   -202.02652209   -206.52637402    288.10  2022-01-12 Wed 21:25:50.71
     702   -202.02651504   -206.52458713    287.77  2022-01-12 Wed 21:26:01.31
     703   -202.02651037   -206.52306672    288.76  2022-01-12 Wed 21:26:11.89
     704   -202.02650829   -206.52185953    289.36  2022-01-12 Wed 21:26:22.51
     705   -202.02650817   -206.52101043    289.11  2022-01-12 Wed 21:26:33.37
     706   -202.02650934   -206.52051330    288.61  2022-01-12 Wed 21:26:44.11
     707   -202.02651120   -206.52031334    288.29  2022-01-12 Wed 21:26:54.87
     708   -202.02651352   -206.52035283    288.56  2022-01-12 Wed 21:27:05.63
     709   -202.02651584   -206.52058047    289.22  2022-01-12 Wed 21:27:16.37
     710   -202.02651772   -206.52094131    289.93  2022-01-12 Wed 21:27:27.48
     711   -202.02651861   -206.52137281    290.67  2022-01-12 Wed 21:27:38.16
     712   -202.02651795   -206.52181845    291.55  2022-01-12 Wed 21:27:48.77
     713   -202.02651549   -206.52225442    292.69  2022-01-12 Wed 21:27:59.75
     714   -202.02651114   -206.52271071    294.21  2022-01-12 Wed 21:28:10.44
     715   -202.02650514   -206.52327524    296.30  2022-01-12 Wed 21:28:21.11
     716   -202.02649872   -206.52407928    299.26  2022-01-12 Wed 21:28:31.76
     717   -202.02649357   -206.52525086    303.31  2022-01-12 Wed 21:28:42.70
     718   -202.02649115   -206.52682422    307.97  2022-01-12 Wed 21:28:53.46
     719   -202.02649218   -206.52867438    311.84  2022-01-12 Wed 21:29:04.23
     720   -202.02649620   -206.53060642    313.91  2022-01-12 Wed 21:29:15.12
     721   -202.02650266   -206.53251010    314.57  2022-01-12 Wed 21:29:25.92
     722   -202.02651071   -206.53434719    314.87  2022-01-12 Wed 21:29:37.16
     723   -202.02651901   -206.53606109    315.26  2022-01-12 Wed 21:29:48.27
     724   -202.02652658   -206.53757250    315.71  2022-01-12 Wed 21:29:59.54
     725   -202.02653255   -206.53881949    316.32  2022-01-12 Wed 21:30:10.80
     726   -202.02653711   -206.53977698    317.38  2022-01-12 Wed 21:30:22.03
     727   -202.02654023   -206.54044852    319.11  2022-01-12 Wed 21:30:33.23
     728   -202.02654151   -206.54082306    321.24  2022-01-12 Wed 21:30:44.51
     729   -202.02654062   -206.54084417    322.64  2022-01-12 Wed 21:30:55.74
     730   -202.02653694   -206.54045151    322.24  2022-01-12 Wed 21:31:06.99
     731   -202.02653072   -206.53965021    320.40  2022-01-12 Wed 21:31:18.16
     732   -202.02652322   -206.53853608    318.33  2022-01-12 Wed 21:31:29.20
     733   -202.02651635   -206.53727916    316.75  2022-01-12 Wed 21:31:39.94
     734   -202.02651143   -206.53606065    315.90  2022-01-12 Wed 21:31:50.74
     735   -202.02650854   -206.53498068    315.68  2022-01-12 Wed 21:32:01.65
     736   -202.02650695   -206.53404239    315.85  2022-01-12 Wed 21:32:12.49
     737   -202.02650597   -206.53318968    316.27  2022-01-12 Wed 21:32:23.22
     738   -202.02650455   -206.53233145    316.94  2022-01-12 Wed 21:32:33.96
     739   -202.02650221   -206.53137097    317.80  2022-01-12 Wed 21:32:44.72
     740   -202.02649839   -206.53029078    318.21  2022-01-12 Wed 21:32:55.40
     741   -202.02649349   -206.52923733    318.06  2022-01-12 Wed 21:33:05.69
     742   -202.02648923   -206.52842066    318.38  2022-01-12 Wed 21:33:16.05
     743   -202.02648659   -206.52796684    319.96  2022-01-12 Wed 21:33:26.48
     744   -202.02648669   -206.52790691    321.13  2022-01-12 Wed 21:33:36.86
     745   -202.02648809   -206.52818977    319.70  2022-01-12 Wed 21:33:47.27
     746   -202.02649077   -206.52871706    317.80  2022-01-12 Wed 21:33:57.67
     747   -202.02649397   -206.52937609    316.61  2022-01-12 Wed 21:34:08.40
     748   -202.02649730   -206.53006385    315.36  2022-01-12 Wed 21:34:18.93
     749   -202.02650021   -206.53069791    313.91  2022-01-12 Wed 21:34:29.50
     750   -202.02650210   -206.53120043    312.65  2022-01-12 Wed 21:34:40.25
     751   -202.02650219   -206.53148104    311.81  2022-01-12 Wed 21:34:51.13
     752   -202.02650000   -206.53145709    311.04  2022-01-12 Wed 21:35:01.86
     753   -202.02649602   -206.53112903    309.86  2022-01-12 Wed 21:35:12.51
     754   -202.02649144   -206.53061290    308.32  2022-01-12 Wed 21:35:23.45
     755   -202.02648722   -206.53006843    306.84  2022-01-12 Wed 21:35:34.30
     756   -202.02648391   -206.52958265    305.70  2022-01-12 Wed 21:35:45.33
     757   -202.02648130   -206.52910755    304.35  2022-01-12 Wed 21:35:55.91
     758   -202.02647893   -206.52854631    302.00  2022-01-12 Wed 21:36:06.62
     759   -202.02647701   -206.52788423    298.83  2022-01-12 Wed 21:36:17.43
     760   -202.02647585   -206.52717699    295.52  2022-01-12 Wed 21:36:28.37
     761   -202.02647543   -206.52647270    292.57  2022-01-12 Wed 21:36:41.89
     762   -202.02647549   -206.52576010    290.29  2022-01-12 Wed 21:36:52.50
     763   -202.02647564   -206.52494816    288.48  2022-01-12 Wed 21:37:03.15
     764   -202.02647472   -206.52392467    286.69  2022-01-12 Wed 21:37:14.51
     765   -202.02647133   -206.52266916    285.05  2022-01-12 Wed 21:37:25.19
     766   -202.02646541   -206.52126503    284.00  2022-01-12 Wed 21:37:36.02
     767   -202.02645794   -206.51983016    283.60  2022-01-12 Wed 21:37:46.92
     768   -202.02644989   -206.51850503    283.93  2022-01-12 Wed 21:37:57.73
     769   -202.02644305   -206.51746988    285.06  2022-01-12 Wed 21:38:08.42
     770   -202.02643827   -206.51691949    287.01  2022-01-12 Wed 21:38:19.13
     771   -202.02643700   -206.51699974    289.49  2022-01-12 Wed 21:38:29.86
     772   -202.02643998   -206.51775709    291.89  2022-01-12 Wed 21:38:40.81
     773   -202.02644653   -206.51910877    294.41  2022-01-12 Wed 21:38:51.70
     774   -202.02645471   -206.52082697    297.02  2022-01-12 Wed 21:39:02.45
     775   -202.02646139   -206.52261460    299.00  2022-01-12 Wed 21:39:13.22
     776   -202.02646507   -206.52425085    300.31  2022-01-12 Wed 21:39:24.03
     777   -202.02646593   -206.52567947    301.36  2022-01-12 Wed 21:39:34.88
     778   -202.02646553   -206.52695929    302.57  2022-01-12 Wed 21:39:45.69
     779   -202.02646460   -206.52813102    303.95  2022-01-12 Wed 21:39:56.37
     780   -202.02646367   -206.52919060    305.13  2022-01-12 Wed 21:40:07.00
     781   -202.02646355   -206.53018002    306.27  2022-01-12 Wed 21:40:17.84
     782   -202.02646479   -206.53119457    307.71  2022-01-12 Wed 21:40:28.43
     783   -202.02646830   -206.53230192    309.49  2022-01-12 Wed 21:40:39.02
     784   -202.02647337   -206.53349519    310.70  2022-01-12 Wed 21:40:49.59
     785   -202.02647836   -206.53472719    310.56  2022-01-12 Wed 21:41:00.32
     786   -202.02648265   -206.53595421    309.96  2022-01-12 Wed 21:41:10.95
     787   -202.02648535   -206.53712245    310.30  2022-01-12 Wed 21:41:21.63
     788   -202.02648671   -206.53815900    312.50  2022-01-12 Wed 21:41:32.38
     789   -202.02648709   -206.53896562    315.11  2022-01-12 Wed 21:41:43.18
     790   -202.02648621   -206.53944665    315.40  2022-01-12 Wed 21:41:53.88
     791   -202.02648479   -206.53957145    314.10  2022-01-12 Wed 21:42:04.50
     792   -202.02648294   -206.53935604    313.04  2022-01-12 Wed 21:42:15.31
     793   -202.02648055   -206.53882215    312.72  2022-01-12 Wed 21:42:26.05
     794   -202.02647800   -206.53799824    313.15  2022-01-12 Wed 21:42:36.76
     795   -202.02647531   -206.53694549    313.45  2022-01-12 Wed 21:42:47.46
     796   -202.02647179   -206.53576937    313.11  2022-01-12 Wed 21:42:58.18
     797   -202.02646725   -206.53454475    312.80  2022-01-12 Wed 21:43:09.75
     798   -202.02646192   -206.53327113    312.75  2022-01-12 Wed 21:43:20.39
     799   -202.02645656   -206.53188807    312.66  2022-01-12 Wed 21:43:31.02
     800   -202.02645118   -206.53029890    311.98  2022-01-12 Wed 21:43:41.61
     801   -202.02644534   -206.52847201    310.86  2022-01-12 Wed 21:43:53.07
     802   -202.02643906   -206.52650298    309.85  2022-01-12 Wed 21:44:03.63
     803   -202.02643297   -206.52452749    309.18  2022-01-12 Wed 21:44:14.25
     804   -202.02642858   -206.52260079    307.62  2022-01-12 Wed 21:44:24.96
     805   -202.02642428   -206.52083422    304.63  2022-01-12 Wed 21:44:35.64
     806   -202.02642117   -206.51952808    302.22  2022-01-12 Wed 21:44:46.25
     807   -202.02642177   -206.51889682    301.49  2022-01-12 Wed 21:44:56.87
     808   -202.02642685   -206.51891436    302.29  2022-01-12 Wed 21:45:07.74
     809   -202.02643533   -206.51938252    303.58  2022-01-12 Wed 21:45:18.55
     810   -202.02644501   -206.52005943    304.08  2022-01-12 Wed 21:45:29.57
     811   -202.02645383   -206.52076569    303.60  2022-01-12 Wed 21:45:40.26
     812   -202.02646047   -206.52140337    303.28  2022-01-12 Wed 21:45:51.09
     813   -202.02646348   -206.52188506    303.67  2022-01-12 Wed 21:46:01.89
     814   -202.02646230   -206.52210849    303.88  2022-01-12 Wed 21:46:12.68
     815   -202.02645734   -206.52206451    303.05  2022-01-12 Wed 21:46:23.49
     816   -202.02645010   -206.52191948    301.35  2022-01-12 Wed 21:46:34.20
     817   -202.02644284   -206.52193047    299.31  2022-01-12 Wed 21:46:44.89
     818   -202.02643748   -206.52231280    297.86  2022-01-12 Wed 21:46:55.71
     819   -202.02643558   -206.52315979    297.76  2022-01-12 Wed 21:47:06.53
     820   -202.02643703   -206.52440682    298.93  2022-01-12 Wed 21:47:17.34
     821   -202.02644091   -206.52586632    300.40  2022-01-12 Wed 21:47:28.43
     822   -202.02644616   -206.52733171    301.07  2022-01-12 Wed 21:47:39.29
     823   -202.02645191   -206.52867244    301.38  2022-01-12 Wed 21:47:50.16
     824   -202.02645755   -206.52979738    302.35  2022-01-12 Wed 21:48:00.92
     825   -202.02646224   -206.53057737    303.85  2022-01-12 Wed 21:48:11.70
     826   -202.02646457   -206.53088672    305.29  2022-01-12 Wed 21:48:22.42
     827   -202.02646339   -206.53066457    306.38  2022-01-12 Wed 21:48:33.40
     828   -202.02645875   -206.52989029    306.61  2022-01-12 Wed 21:48:44.14
     829   -202.02645252   -206.52858590    305.83  2022-01-12 Wed 21:48:54.87
     830   -202.02644584   -206.52685388    304.76  2022-01-12 Wed 21:49:05.64
     831   -202.02643796   -206.52485855    304.08  2022-01-12 Wed 21:49:16.56
     832   -202.02642906   -206.52277771    303.77  2022-01-12 Wed 21:49:27.58
     833   -202.02641949   -206.52073166    302.65  2022-01-12 Wed 21:49:38.34
     834   -202.02640940   -206.51879393    301.24  2022-01-12 Wed 21:49:48.89
     835   -202.02639891   -206.51707132    300.71  2022-01-12 Wed 21:49:59.60
     836   -202.02638834   -206.51571424    299.75  2022-01-12 Wed 21:50:10.21
     837   -202.02637870   -206.51489164    297.35  2022-01-12 Wed 21:50:20.85
     838   -202.02637238   -206.51475572    295.15  2022-01-12 Wed 21:50:31.51
     839   -202.02637102   -206.51539134    293.84  2022-01-12 Wed 21:50:42.12
     840   -202.02637535   -206.51678493    292.67  2022-01-12 Wed 21:50:52.88
     841   -202.02638445   -206.51882171    291.43  2022-01-12 Wed 21:51:03.61
     842   -202.02639604   -206.52128589    290.36  2022-01-12 Wed 21:51:14.64
     843   -202.02640668   -206.52390003    289.68  2022-01-12 Wed 21:51:25.46
     844   -202.02641381   -206.52642336    289.74  2022-01-12 Wed 21:51:36.24
     845   -202.02641681   -206.52874160    290.73  2022-01-12 Wed 21:51:47.34
     846   -202.02641662   -206.53085161    292.62  2022-01-12 Wed 21:51:58.35
     847   -202.02641449   -206.53275216    294.95  2022-01-12 Wed 21:52:09.22
     848   -202.02641192   -206.53439967    296.95  2022-01-12 Wed 21:52:19.97
     849   -202.02641023   -206.53577615    298.48  2022-01-12 Wed 21:52:30.68
     850   -202.02640905   -206.53692291    299.68  2022-01-12 Wed 21:52:41.53
     851   -202.02640869   -206.53791134    300.59  2022-01-12 Wed 21:52:52.38
     852   -202.02640844   -206.53881726    301.31  2022-01-12 Wed 21:53:03.38
     853   -202.02640855   -206.53970320    301.91  2022-01-12 Wed 21:53:14.12
     854   -202.02640879   -206.54060332    302.47  2022-01-12 Wed 21:53:24.84
     855   -202.02640900   -206.54151680    303.09  2022-01-12 Wed 21:53:35.55
     856   -202.02640886   -206.54241890    303.68  2022-01-12 Wed 21:53:46.31
     857   -202.02640808   -206.54328419    304.03  2022-01-12 Wed 21:53:57.15
     858   -202.02640699   -206.54408937    303.95  2022-01-12 Wed 21:54:08.02
     859   -202.02640600   -206.54479111    303.46  2022-01-12 Wed 21:54:18.78
     860   -202.02640496   -206.54531226    302.78  2022-01-12 Wed 21:54:29.69
     861   -202.02640319   -206.54556828    301.90  2022-01-12 Wed 21:54:40.50
     862   -202.02640017   -206.54554057    300.39  2022-01-12 Wed 21:54:51.29
     863   -202.02639606   -206.54531964    298.40  2022-01-12 Wed 21:55:01.90
     864   -202.02639170   -206.54504703    296.75  2022-01-12 Wed 21:55:12.74
     865   -202.02638852   -206.54482929    295.93  2022-01-12 Wed 21:55:23.33
     866   -202.02638696   -206.54470288    296.06  2022-01-12 Wed 21:55:33.80
     867   -202.02638721   -206.54463480    297.06  2022-01-12 Wed 21:55:44.22
     868   -202.02638882   -206.54453851    298.26  2022-01-12 Wed 21:55:54.65
     869   -202.02639110   -206.54432071    298.80  2022-01-12 Wed 21:56:05.12
     870   -202.02639372   -206.54393393    298.87  2022-01-12 Wed 21:56:15.52
     871   -202.02639618   -206.54334756    299.66  2022-01-12 Wed 21:56:26.12
     872   -202.02639681   -206.54246998    301.82  2022-01-12 Wed 21:56:36.77
     873   -202.02639581   -206.54115954    305.03  2022-01-12 Wed 21:56:47.38
     874   -202.02639322   -206.53930878    308.38  2022-01-12 Wed 21:56:58.40
     875   -202.02638883   -206.53689472    310.88  2022-01-12 Wed 21:57:09.66
     876   -202.02638334   -206.53396888    312.11  2022-01-12 Wed 21:57:21.50
     877   -202.02637602   -206.53063791    312.05  2022-01-12 Wed 21:57:32.50
     878   -202.02636733   -206.52707769    310.42  2022-01-12 Wed 21:57:43.20
     879   -202.02635781   -206.52353182    307.45  2022-01-12 Wed 21:57:53.91
     880   -202.02634805   -206.52024982    304.39  2022-01-12 Wed 21:58:04.80
     881   -202.02633950   -206.51741034    301.83  2022-01-12 Wed 21:58:15.52
     882   -202.02633259   -206.51509405    299.30  2022-01-12 Wed 21:58:26.24
     883   -202.02632753   -206.51330522    296.78  2022-01-12 Wed 21:58:36.90
     884   -202.02632472   -206.51201095    294.82  2022-01-12 Wed 21:58:47.61
     885   -202.02632391   -206.51117370    293.83  2022-01-12 Wed 21:58:58.32
     886   -202.02632500   -206.51077176    293.93  2022-01-12 Wed 21:59:09.24
     887   -202.02632772   -206.51080344    294.63  2022-01-12 Wed 21:59:19.96
     888   -202.02633182   -206.51125727    295.38  2022-01-12 Wed 21:59:30.80
     889   -202.02633695   -206.51203554    295.37  2022-01-12 Wed 21:59:41.66
     890   -202.02634238   -206.51293913    293.66  2022-01-12 Wed 21:59:52.65
     891   -202.02634761   -206.51377681    291.13  2022-01-12 Wed 22:00:03.46
     892   -202.02635143   -206.51447033    289.54  2022-01-12 Wed 22:00:14.43
     893   -202.02635345   -206.51505683    289.88  2022-01-12 Wed 22:00:25.13
     894   -202.02635439   -206.51557959    291.48  2022-01-12 Wed 22:00:35.74
     895   -202.02635472   -206.51602308    292.23  2022-01-12 Wed 22:00:46.39
     896   -202.02635417   -206.51640322    291.64  2022-01-12 Wed 22:00:57.15
     897   -202.02635283   -206.51679237    290.98  2022-01-12 Wed 22:01:08.25
     898   -202.02635095   -206.51721516    290.74  2022-01-12 Wed 22:01:19.11
     899   -202.02634875   -206.51762575    290.74  2022-01-12 Wed 22:01:29.69
     900   -202.02634562   -206.51798551    290.54  2022-01-12 Wed 22:01:40.63
     901   -202.02634134   -206.51834538    289.96  2022-01-12 Wed 22:01:51.50
     902   -202.02633660   -206.51883666    289.59  2022-01-12 Wed 22:02:02.26
     903   -202.02633282   -206.51960418    290.00  2022-01-12 Wed 22:02:12.98
     904   -202.02633204   -206.52075814    291.00  2022-01-12 Wed 22:02:23.75
     905   -202.02633511   -206.52234762    291.51  2022-01-12 Wed 22:02:34.60
     906   -202.02634187   -206.52435442    291.14  2022-01-12 Wed 22:02:45.36
     907   -202.02635191   -206.52669424    291.03  2022-01-12 Wed 22:02:56.06
     908   -202.02636426   -206.52920226    291.80  2022-01-12 Wed 22:03:06.88
     909   -202.02637698   -206.53161936    293.03  2022-01-12 Wed 22:03:17.60
     910   -202.02638795   -206.53366001    294.12  2022-01-12 Wed 22:03:28.37
     911   -202.02639463   -206.53514514    295.13  2022-01-12 Wed 22:03:39.14
     912   -202.02639655   -206.53604114    296.32  2022-01-12 Wed 22:03:49.88
     913   -202.02639451   -206.53640622    297.82  2022-01-12 Wed 22:04:00.67
     914   -202.02638971   -206.53633567    299.54  2022-01-12 Wed 22:04:11.41
     915   -202.02638344   -206.53592785    301.31  2022-01-12 Wed 22:04:22.12
     916   -202.02637676   -206.53526416    303.11  2022-01-12 Wed 22:04:32.81
     917   -202.02637044   -206.53439425    304.99  2022-01-12 Wed 22:04:43.54
     918   -202.02636472   -206.53332987    306.79  2022-01-12 Wed 22:04:54.40
     919   -202.02635889   -206.53205711    308.19  2022-01-12 Wed 22:05:05.18
     920   -202.02635243   -206.53057150    308.88  2022-01-12 Wed 22:05:15.86
     921   -202.02634530   -206.52893872    308.88  2022-01-12 Wed 22:05:26.72
     922   -202.02633881   -206.52732757    308.87  2022-01-12 Wed 22:05:37.42
     923   -202.02633463   -206.52593123    309.79  2022-01-12 Wed 22:05:48.25
     924   -202.02633357   -206.52486895    311.82  2022-01-12 Wed 22:05:58.97
     925   -202.02633565   -206.52418073    314.14  2022-01-12 Wed 22:06:10.02
     926   -202.02634019   -206.52385175    315.62  2022-01-12 Wed 22:06:20.58
     927   -202.02634559   -206.52380578    315.77  2022-01-12 Wed 22:06:31.18
     928   -202.02634970   -206.52391030    314.99  2022-01-12 Wed 22:06:41.85
     929   -202.02635125   -206.52405091    313.71  2022-01-12 Wed 22:06:52.50
     930   -202.02635098   -206.52421189    312.34  2022-01-12 Wed 22:07:03.28
     931   -202.02635021   -206.52445924    311.42  2022-01-12 Wed 22:07:14.10
     932   -202.02635057   -206.52487674    311.51  2022-01-12 Wed 22:07:24.69
     933   -202.02635267   -206.52551053    312.67  2022-01-12 Wed 22:07:35.26
     934   -202.02635682   -206.52630297    313.01  2022-01-12 Wed 22:07:46.05
     935   -202.02636120   -206.52710462    310.71  2022-01-12 Wed 22:07:56.72
     936   -202.02636512   -206.52780971    307.71  2022-01-12 Wed 22:08:07.43
     937   -202.02636818   -206.52839715    305.87  2022-01-12 Wed 22:08:18.10
     938   -202.02637047   -206.52887685    304.97  2022-01-12 Wed 22:08:28.74
     939   -202.02637208   -206.52926420    304.03  2022-01-12 Wed 22:08:39.33
     940   -202.02637317   -206.52957760    302.86  2022-01-12 Wed 22:08:49.95
     941   -202.02637386   -206.52982898    301.98  2022-01-12 Wed 22:09:00.61
     942   -202.02637410   -206.53001037    301.44  2022-01-12 Wed 22:09:11.27
     943   -202.02637320   -206.53009691    300.72  2022-01-12 Wed 22:09:21.88
     944   -202.02637039   -206.53007465    299.34  2022-01-12 Wed 22:09:32.46
     945   -202.02636523   -206.52997377    297.51  2022-01-12 Wed 22:09:43.38
     946   -202.02635787   -206.52986282    295.62  2022-01-12 Wed 22:09:53.98
     947   -202.02634886   -206.52981850    293.45  2022-01-12 Wed 22:10:04.59
     948   -202.02634003   -206.52992975    291.33  2022-01-12 Wed 22:10:15.34
     949   -202.02633299   -206.53029649    289.80  2022-01-12 Wed 22:10:25.91
     950   -202.02632940   -206.53098560    288.57  2022-01-12 Wed 22:10:36.54
     951   -202.02632909   -206.53201050    287.42  2022-01-12 Wed 22:10:46.97
     952   -202.02633187   -206.53336299    286.90  2022-01-12 Wed 22:10:57.43
     953   -202.02633729   -206.53503897    287.60  2022-01-12 Wed 22:11:07.90
     954   -202.02634477   -206.53699075    289.12  2022-01-12 Wed 22:11:18.34
     955   -202.02635360   -206.53905917    290.49  2022-01-12 Wed 22:11:28.98
     956   -202.02636385   -206.54101259    292.21  2022-01-12 Wed 22:11:39.69
     957   -202.02637314   -206.54261073    293.90  2022-01-12 Wed 22:11:50.41
     958   -202.02637989   -206.54366163    295.17  2022-01-12 Wed 22:12:01.25
     959   -202.02638074   -206.54405916    296.04  2022-01-12 Wed 22:12:11.95
     960   -202.02637482   -206.54384468    296.21  2022-01-12 Wed 22:12:22.80
     961   -202.02636405   -206.54321975    295.54  2022-01-12 Wed 22:12:33.43
     962   -202.02635217   -206.54247643    294.45  2022-01-12 Wed 22:12:43.81
     963   -202.02634240   -206.54190600    293.45  2022-01-12 Wed 22:12:54.19
     964   -202.02633610   -206.54171797    292.78  2022-01-12 Wed 22:13:04.59
     965   -202.02633401   -206.54202491    292.58  2022-01-12 Wed 22:13:15.17
     966   -202.02633626   -206.54285787    293.01  2022-01-12 Wed 22:13:25.59
     967   -202.02634203   -206.54416668    294.09  2022-01-12 Wed 22:13:36.07
     968   -202.02634995   -206.54582362    295.67  2022-01-12 Wed 22:13:46.59
     969   -202.02635841   -206.54766192    297.62  2022-01-12 Wed 22:13:57.17
     970   -202.02636609   -206.54953074    299.74  2022-01-12 Wed 22:14:07.78
     971   -202.02637256   -206.55132266    301.54  2022-01-12 Wed 22:14:18.43
     972   -202.02637750   -206.55297328    302.42  2022-01-12 Wed 22:14:29.12
     973   -202.02638123   -206.55444743    302.43  2022-01-12 Wed 22:14:39.85
     974   -202.02638402   -206.55569784    302.21  2022-01-12 Wed 22:14:50.40
     975   -202.02638581   -206.55661399    302.46  2022-01-12 Wed 22:15:01.42
     976   -202.02638672   -206.55701039    302.74  2022-01-12 Wed 22:15:12.76
     977   -202.02638498   -206.55672745    301.80  2022-01-12 Wed 22:15:23.59
     978   -202.02638010   -206.55581244    299.82  2022-01-12 Wed 22:15:34.28
     979   -202.02637268   -206.55449911    298.20  2022-01-12 Wed 22:15:44.88
     980   -202.02636462   -206.55298756    297.54  2022-01-12 Wed 22:15:55.64
     981   -202.02635705   -206.55136651    297.83  2022-01-12 Wed 22:16:06.22
     982   -202.02635057   -206.54970397    298.56  2022-01-12 Wed 22:16:17.22
     983   -202.02634668   -206.54813963    298.80  2022-01-12 Wed 22:16:27.79
     984   -202.02634634   -206.54683673    298.48  2022-01-12 Wed 22:16:38.40
     985   -202.02634892   -206.54582625    298.28  2022-01-12 Wed 22:16:48.94
     986   -202.02635193   -206.54499359    298.50  2022-01-12 Wed 22:16:59.64
     987   -202.02635365   -206.54421374    299.15  2022-01-12 Wed 22:17:10.24
     988   -202.02635354   -206.54342172    300.19  2022-01-12 Wed 22:17:20.95
     989   -202.02635131   -206.54260994    301.50  2022-01-12 Wed 22:17:31.82
     990   -202.02634692   -206.54184447    302.79  2022-01-12 Wed 22:17:42.62
     991   -202.02634114   -206.54126586    303.75  2022-01-12 Wed 22:17:53.38
     992   -202.02633641   -206.54102780    304.24  2022-01-12 Wed 22:18:04.13
     993   -202.02633547   -206.54123097    304.38  2022-01-12 Wed 22:18:14.86
     994   -202.02634026   -206.54188025    304.33  2022-01-12 Wed 22:18:26.09
     995   -202.02634966   -206.54282663    303.93  2022-01-12 Wed 22:18:36.74
     996   -202.02635949   -206.54374572    302.79  2022-01-12 Wed 22:18:47.38
     997   -202.02636572   -206.54428665    301.14  2022-01-12 Wed 22:18:58.12
     998   -202.02636700   -206.54424398    299.76  2022-01-12 Wed 22:19:08.76
     999   -202.02636366   -206.54353515    298.59  2022-01-12 Wed 22:19:19.55
    1000   -202.02635613   -206.54214268    296.29  2022-01-12 Wed 22:19:30.46
