====================================================================
   i   j      r [au]   pdf: d(r)   rdf: g(r)   cn: n1(r)   cn: n2(r)
   1   1      2.6500      0.0111      0.3044      1.4142      1.4142
   1   1      2.6600      0.0119      0.3242      1.4185      1.4185
   1   1      2.6700      0.0137      0.3680      1.4234      1.4234
   1   1      2.6800      0.0149      0.3992      1.4288      1.4288
   1   1      2.6900      0.0155      0.4126      1.4344      1.4344
   1   1      2.7000      0.0175      0.4623      1.4407      1.4407
   1   1      2.7100      0.0197      0.5152      1.4478      1.4478
   1   1      2.7200      0.0206      0.5357      1.4552      1.4552
   1   1      2.7300      0.0209      0.5397      1.4627      1.4627
   1   1      2.7400      0.0233      0.5956      1.4711      1.4711
   1   1      2.7500      0.0247      0.6281      1.4800      1.4800
   1   1      2.7600      0.0259      0.6538      1.4894      1.4894
   1   1      2.7700      0.0286      0.7154      1.4997      1.4997
   1   1      2.7800      0.0294      0.7302      1.5102      1.5102
   1   1      2.7900      0.0307      0.7578      1.5213      1.5213
   1   1      2.8000      0.0327      0.8022      1.5331      1.5331
   1   1      2.8100      0.0349      0.8487      1.5456      1.5456
   1   1      2.8200      0.0381      0.9203      1.5594      1.5594
   1   1      2.8300      0.0382      0.9159      1.5731      1.5731
   1   1      2.8400      0.0420      1.0009      1.5882      1.5882
   1   1      2.8500      0.0438      1.0347      1.6040      1.6040
   1   1      2.8600      0.0451      1.0599      1.6202      1.6202
   1   1      2.8700      0.0474      1.1041      1.6373      1.6373
   1   1      2.8800      0.0485      1.1224      1.6547      1.6547
   1   1      2.8900      0.0505      1.1616      1.6729      1.6729
   1   1      2.9000      0.0527      1.2030      1.6919      1.6919
   1   1      2.9100      0.0536      1.2148      1.7112      1.7112
   1   1      2.9200      0.0569      1.2813      1.7317      1.7317
   1   1      2.9300      0.0577      1.2904      1.7524      1.7524
   1   1      2.9400      0.0594      1.3199      1.7738      1.7738
   1   1      2.9500      0.0646      1.4264      1.7971      1.7971
   1   1      2.9600      0.0637      1.3952      1.8200      1.8200
   1   1      2.9700      0.0669      1.4561      1.8441      1.8441
   1   1      2.9800      0.0657      1.4206      1.8677      1.8677
   1   1      2.9900      0.0690      1.4827      1.8926      1.8926
   1   1      3.0000      0.0708      1.5109      1.9180      1.9180
   1   1      3.0100      0.0729      1.5451      1.9443      1.9443
   1   1      3.0200      0.0736      1.5497      1.9708      1.9708
   1   1      3.0300      0.0773      1.6175      1.9986      1.9986
   1   1      3.0400      0.0800      1.6621      2.0274      2.0274
   1   1      3.0500      0.0803      1.6574      2.0563      2.0563
   1   1      3.0600      0.0815      1.6714      2.0856      2.0856
   1   1      3.0700      0.0822      1.6745      2.1152      2.1152
   1   1      3.0800      0.0822      1.6638      2.1448      2.1448
   1   1      3.0900      0.0852      1.7143      2.1755      2.1755
   1   1      3.1000      0.0872      1.7418      2.2069      2.2069
   1   1      3.1100      0.0852      1.6920      2.2375      2.2375
   1   1      3.1200      0.0884      1.7438      2.2694      2.2694
   1   1      3.1300      0.0896      1.7568      2.3016      2.3016
   1   1      3.1400      0.0894      1.7421      2.3338      2.3338
   1   1      3.1500      0.0901      1.7439      2.3663      2.3663
   1   1      3.1600      0.0889      1.7096      2.3983      2.3983
   1   1      3.1700      0.0885      1.6920      2.4301      2.4301
   1   1      3.1800      0.0897      1.7040      2.4624      2.4624
   1   1      3.1900      0.0902      1.7018      2.4949      2.4949
   1   1      3.2000      0.0877      1.6446      2.5265      2.5265
   1   1      3.2100      0.0892      1.6618      2.5585      2.5585
   1   1      3.2200      0.0872      1.6160      2.5900      2.5900
   1   1      3.2300      0.0865      1.5932      2.6211      2.6211
   1   1      3.2400      0.0833      1.5233      2.6511      2.6511
   1   1      3.2500      0.0852      1.5492      2.6818      2.6818
   1   1      3.2600      0.0824      1.4895      2.7114      2.7114
   1   1      3.2700      0.0782      1.4048      2.7396      2.7396
