====================================================================
   i   j      r [au]   pdf: d(r)   rdf: g(r)   cn: n1(r)   cn: n2(r)
   1   1      3.5500      0.0244      0.3718      3.3122      3.3122
   1   1      3.5600      0.0244      0.3695      3.3210      3.3210
   1   1      3.5700      0.0231      0.3487      3.3293      3.3293
   1   1      3.5800      0.0234      0.3501      3.3377      3.3377
   1   1      3.5900      0.0206      0.3070      3.3451      3.3451
   1   1      3.6000      0.0197      0.2922      3.3522      3.3522
   1   1      3.6100      0.0202      0.2980      3.3595      3.3595
   1   1      3.6200      0.0185      0.2706      3.3661      3.3661
   1   1      3.6300      0.0174      0.2533      3.3724      3.3724
   1   1      3.6400      0.0190      0.2756      3.3792      3.3792
   1   1      3.6500      0.0194      0.2803      3.3862      3.3862
   1   1      3.6600      0.0188      0.2692      3.3930      3.3930
   1   1      3.6700      0.0193      0.2745      3.3999      3.3999
   1   1      3.6800      0.0191      0.2704      3.4068      3.4068
   1   1      3.6900      0.0191      0.2698      3.4137      3.4137
   1   1      3.7000      0.0190      0.2670      3.4205      3.4205
   1   1      3.7100      0.0195      0.2718      3.4275      3.4275
   1   1      3.7200      0.0207      0.2866      3.4350      3.4350
   1   1      3.7300      0.0214      0.2954      3.4427      3.4427
   1   1      3.7400      0.0219      0.3010      3.4506      3.4506
   1   1      3.7500      0.0221      0.3018      3.4585      3.4585
   1   1      3.7600      0.0225      0.3051      3.4666      3.4666
   1   1      3.7700      0.0236      0.3194      3.4751      3.4751
   1   1      3.7800      0.0259      0.3482      3.4845      3.4845
   1   1      3.7900      0.0282      0.3765      3.4946      3.4946
   1   1      3.8000      0.0287      0.3817      3.5049      3.5049
   1   1      3.8100      0.0312      0.4122      3.5161      3.5161
   1   1      3.8200      0.0333      0.4389      3.5281      3.5281
   1   1      3.8300      0.0358      0.4686      3.5410      3.5410
   1   1      3.8400      0.0375      0.4885      3.5545      3.5545
   1   1      3.8500      0.0383      0.4967      3.5683      3.5683
   1   1      3.8600      0.0396      0.5109      3.5826      3.5826
   1   1      3.8700      0.0424      0.5435      3.5979      3.5979
   1   1      3.8800      0.0442      0.5640      3.6138      3.6138
   1   1      3.8900      0.0477      0.6058      3.6310      3.6310
   1   1      3.9000      0.0493      0.6223      3.6487      3.6487
   1   1      3.9100      0.0529      0.6650      3.6678      3.6678
   1   1      3.9200      0.0568      0.7100      3.6882      3.6882
   1   1      3.9300      0.0616      0.7664      3.7104      3.7104
   1   1      3.9400      0.0640      0.7918      3.7334      3.7334
   1   1      3.9500      0.0656      0.8071      3.7570      3.7570
   1   1      3.9600      0.0699      0.8558      3.7822      3.7822
   1   1      3.9700      0.0685      0.8352      3.8069      3.8069
   1   1      3.9800      0.0706      0.8564      3.8323      3.8323
   1   1      3.9900      0.0720      0.8680      3.8582      3.8582
   1   1      4.0000      0.0795      0.9544      3.8868      3.8868
