 --- primitive lattice vectors ---
     hbarW=  0.17600137E-03 Ha =  0.47892407E-02 eV; nu=  0.38627835E+02 cm^-1
    25   0.0360743698  0.0051924046  0.0386967552
    26  -0.0108708342 -0.0400524557 -0.0511318817
    27  -0.0376066655  0.0101379041 -0.5837335849
    28  -0.0405276352 -0.0465771952 -0.2652769525
    29  -0.0417533342  0.0002643440  0.5316317930
    30  -0.0412763880 -0.0366669774  0.3210649626
    31  -0.1249928894 -0.0017999666  0.0117805096
    32  -0.0667814406 -0.0156586636 -0.0188412338
    33   0.2654101461  0.0435687223  0.0091253718
    34   0.2553716399  0.0436484091 -0.0178799051
    35   0.0801191833  0.0099814523  0.0132515758
    36   0.0747469566  0.0125866219 -0.0041851040
    37   0.0801300758  0.0165377451  0.0010355266
    38   0.0749174679  0.0141549901 -0.0151802534
 n=    11 A   IR&R
     hbarW=  0.19608385E-03 Ha =  0.53357129E-02 eV; nu=  0.43035432E+02 cm^-1
    25   0.0052325389 -0.0017506285  0.2570791092
    26   0.0015945047  0.0029197388 -0.1426867497
    27  -0.0398027079  0.0729081214 -0.0280444376
    28  -0.0422381159 -0.0758950381 -0.0624648206
    29   0.0621413943 -0.0861840735 -0.0846641884
    30   0.0612459121  0.0848088320 -0.0361059869
    31   0.0139084335 -0.0040526063  0.7690568088
    32   0.0158512564 -0.0043873937 -0.4769566800
    33  -0.0150685012  0.0075219054 -0.1336120822
    34  -0.0176222495  0.0008566866 -0.1345287262
    35  -0.0044429493  0.0010133974 -0.0442442544
    36  -0.0057767495  0.0004934228 -0.0445779545
    37  -0.0040080098  0.0018014072 -0.0426530633
    38  -0.0053565792  0.0017053076 -0.0429144778
 n=    12 A   IR&R
     hbarW=  0.21065503E-03 Ha =  0.57322150E-02 eV; nu=  0.46233437E+02 cm^-1
    25   0.0095722945 -0.0098895940  0.1265865849
    26   0.0020472851  0.0082338172  0.6056871012
    27   0.0074769714 -0.0339366360 -0.2445059411
    28   0.0158877828  0.0585792749 -0.4663837372
    29  -0.0055798518  0.0539349851 -0.2086720001
    30  -0.0147185629 -0.0558068958 -0.3980590553
    31  -0.0093314625  0.0032249240  0.1974215245
    32  -0.0004263068  0.0119555404  0.2486259517
    33  -0.0028926802 -0.0485842818  0.0816219886
    34   0.0279385877 -0.0520581569  0.0982178213
    35  -0.0046136741 -0.0089760636  0.0137158037
    36   0.0116292431 -0.0092940303  0.0260020136
    37  -0.0041992717 -0.0207167963  0.0172803171
    38   0.0120058595 -0.0215408100  0.0257405459
 n=    13 A   IR&R
     hbarW=  0.22757725E-03 Ha =  0.61926918E-02 eV; nu=  0.49947433E+02 cm^-1
    25   0.0012383218 -0.0037236643 -0.0429844877
    26  -0.0025985596 -0.0039009228 -0.1411965227
    27  -0.0351691742  0.0308260223  0.5479940818
    28   0.0172968797  0.0107212748 -0.4502797088
    29   0.0244328265 -0.0378809144  0.5606882556
    30  -0.0249200315 -0.0245766565 -0.3618469095
    31  -0.0115774902 -0.0076386042 -0.0144296442
    32  -0.0073493743 -0.0091662326 -0.0366258935
    33  -0.0605702216  0.0121890717 -0.0125243305
    34   0.0892347728  0.0124847629 -0.0131092044
    35  -0.0349541828  0.0326152102 -0.0066815471
    36   0.0438243708  0.0327613234  0.0022604996
    37  -0.0352685997 -0.0250337562  0.0015528822
    38   0.0436849069 -0.0255067385 -0.0077796980
 n=    14 A   IR&R
     hbarW=  0.23975941E-03 Ha =  0.65241855E-02 eV; nu=  0.52621110E+02 cm^-1
    25   0.0021820450  0.1105302152  0.0599583537
    26   0.0013675709 -0.0546680389  0.0959830579
    27   0.0084612836 -0.0649755561  0.0872723442
    28  -0.0037495744 -0.0589518263 -0.1179146234
    29   0.0074481671 -0.0575434300 -0.1387000528
    30  -0.0052858479 -0.0654113474  0.0824006475
    31   0.0027085913 -0.0943842949 -0.0474372455
    32   0.0002844493 -0.1576933142 -0.0260233910
    33  -0.0116233497  0.5993226959  0.0752240119
    34  -0.0064468454  0.5988244771 -0.0898522244
    35  -0.0039790413  0.1806669262  0.0490470584
    36  -0.0014547292  0.1804362651 -0.0553765850
    37  -0.0043794793  0.1790158947  0.0510112280
    38  -0.0012740268  0.1794440691 -0.0549607790
 n=    15 A   IR&R
     hbarW=  0.25566480E-03 Ha =  0.69569929E-02 eV; nu=  0.56111938E+02 cm^-1
    25  -0.0044147125  0.0123119666 -0.4347632773
    26   0.0030857976 -0.0074633266 -0.4568074509
    27   0.0446424074 -0.0394593401 -0.0702311359
    28   0.0421980359  0.0238763662 -0.0494253848
    29  -0.0449461920  0.0230217108 -0.0901246423
    30  -0.0425597997 -0.0370928526 -0.0407920371
    31  -0.0012544584 -0.0108640881  0.4643941250
    32   0.0043858759 -0.0155202696  0.5469774030
    33   0.0008645573  0.0601540821  0.1502260716
    34  -0.0029397734  0.0668118197  0.1338076981
    35   0.0008576497  0.0177315253  0.0486799769
    36  -0.0011594869  0.0188484323  0.0376431921
    37   0.0002063637  0.0192631748  0.0509847820
    38  -0.0017591926  0.0203769262  0.0404269847
 n=    16 A   IR&R
     hbarW=  0.51006774E-03 Ha =  0.13879649E-01 eV; nu=  0.11194693E+03 cm^-1
    25  -0.0059813551  0.3796914037 -0.0002462303
    26   0.0076307586 -0.2776676646  0.0013226947
    27  -0.0698914223  0.0647924780  0.0191888523
    28   0.0843967091  0.0578872516 -0.0225644819
    29  -0.0721452913  0.0380281603 -0.0226271927
    30   0.0626874186  0.0502401880  0.0221198411
    31   0.0123442309  0.4939992734  0.0004101681
    32  -0.0194306992 -0.6840407825  0.0021139533
    33  -0.0029533287 -0.0939843064  0.0586631128
    34  -0.0009647866 -0.0937322061 -0.0617862331
    35  -0.0006692503 -0.0241028399  0.0334147641
    36  -0.0002175504 -0.0239569700 -0.0328172826
    37  -0.0012181282 -0.0242711725  0.0322528314
    38   0.0003495404 -0.0244054127 -0.0339811996
 n=    17 A   IR&R
     hbarW=  0.51691096E-03 Ha =  0.14065862E-01 eV; nu=  0.11344884E+03 cm^-1
    25  -0.2347667316 -0.0079010920  0.0134605881
    26   0.2814154768  0.0050922866 -0.0126898343
    27   0.0275661526 -0.1117817809 -0.0385299789
    28   0.0257723153  0.1027017665 -0.0374365449
    29   0.0957508414 -0.0201485660  0.0367749013
    30   0.0906287596  0.0229761406  0.0342772818
    31   0.4939674332 -0.0129047359  0.0045655669
    32  -0.7516190677  0.0164988565 -0.0008166972
    33  -0.0433091360  0.0012421435  0.0015502165
    34  -0.0428057113  0.0013914449  0.0043523041
    35  -0.0081569152 -0.0009723188  0.0304223871
    36  -0.0078700805  0.0017849296  0.0320665081
    37  -0.0075872732  0.0016471249 -0.0301610689
    38  -0.0072956082 -0.0012938220 -0.0287048768
 n=    18 A   IR&R
     hbarW=  0.52665019E-03 Ha =  0.14330880E-01 eV; nu=  0.11558636E+03 cm^-1
    25  -0.0210702186 -0.0011251556 -0.1230298699
    26   0.0190764522 -0.0016333767  0.1235343360
    27   0.3634455608  0.3357730208 -0.0015128001
    28   0.3592130188 -0.3325096788 -0.0080249321
    29  -0.3427415507 -0.3490146581  0.0067341612
    30  -0.3425600001  0.3402810199  0.0019723025
    31   0.0547801514 -0.0104406465 -0.0005495595
    32  -0.0871309368  0.0174153420 -0.0264933036
    33  -0.0027103706  0.0002658400 -0.0049144910
    34  -0.0014108218  0.0000682242 -0.0021405932
    35  -0.0001119439 -0.0002612612  0.0024580500
    36   0.0005718604  0.0006921956  0.0041898886
    37  -0.0004982800 -0.0004172895 -0.0057955415
    38   0.0001719885 -0.0001676677 -0.0041140911
 n=    19 A   IR&R
     hbarW=  0.55179566E-03 Ha =  0.15015124E-01 eV; nu=  0.12110515E+03 cm^-1
    25  -0.0003856941 -0.0099105203  0.0190798967
    26   0.0003240075  0.0088002290  0.0025782090
    27   0.3276955993 -0.3562526840  0.0354423905
    28   0.3415296971  0.3414180980  0.0389389220
    29  -0.3321804287  0.3597441775  0.0393898399
    30  -0.3407953260 -0.3392406418  0.0340316462
    31  -0.0083109074  0.0042794873  0.0945433169
    32   0.0153720873 -0.0038793881 -0.2047256057
    33  -0.0022781208 -0.0025775119 -0.0433766490
    34  -0.0012617370 -0.0016493953 -0.0446181808
    35  -0.0008490060 -0.0000323165 -0.0095960181
    36  -0.0003142711 -0.0007804874 -0.0101630026
    37  -0.0008355539 -0.0005071343 -0.0096892410
    38  -0.0002816435 -0.0011132652 -0.0102715000
 n=    20 A   IR&R
     hbarW=  0.56015116E-03 Ha =  0.15242488E-01 eV; nu=  0.12293897E+03 cm^-1
    25  -0.0344878359 -0.0265584937  0.0000840819
    26   0.0364289100  0.0333337530  0.0014297103
    27  -0.4690195591 -0.1780003246 -0.0146425012
    28   0.4576202258 -0.1971557344  0.0073075878
    29   0.4607018277  0.1797157050 -0.0081704230
    30  -0.4572017502  0.1934346658  0.0086230994
