 --- primitive lattice vectors ---
    19   0.0019882262 -0.0051293207 -0.2168790258
    20  -0.0009070680 -0.0222869121  0.2322748107
    21   0.0074274901  0.0827458835  0.0060601206
    22  -0.0042568528  0.0809759357  0.0021167240
    23   0.0019917895 -0.0554316629 -0.3991360820
    24  -0.0013772323 -0.0390451793  0.3718150231
    25   0.0015852680 -0.0088089923 -0.0064648267
    26   0.0023825203 -0.2579551294  0.0084872452
    27  -0.1976064747  0.0307068886  0.2313157224
    28   0.2083022394  0.0267934588 -0.2320049445
    29  -0.2050407188  0.0300655387 -0.2295903085
    30   0.1957315386  0.0260630965  0.2291079215
    31  -0.0011754161  0.2944032929  0.0066774155
    32  -0.0016987053  0.1107822481 -0.0037336381
    33   0.0057581353 -0.0401993368 -0.0217124193
    34   0.0058172574 -0.0403227150  0.0214781503
    35   0.0016722938 -0.0125387402 -0.0121637075
    36   0.0018182122 -0.0125254864  0.0130246142
    37   0.0018591685 -0.0126466174 -0.0132694146
    38   0.0016962458 -0.0127281928  0.0119263276
 n=     7 A   IR&R
     hbarW=  0.24033016E-03 Ha =  0.65397162E-02 eV; nu=  0.52746374E+02 cm^-1
    17  -0.2277009823  0.0063793769 -0.1157190958
    18   0.2294139865  0.0080388047 -0.1100466252
    19  -0.0007705721  0.1655725313  0.2885525693
    20  -0.0026991578 -0.1659230792  0.2691926122
    21   0.0651019221 -0.0014745020  0.1857383126
    22  -0.0640837952 -0.0044835560  0.1958082911
    23   0.0018199543 -0.1034884306 -0.3373973926
    24   0.0045330639  0.1114460236 -0.3641269118
    25  -0.0021760079  0.0022732989 -0.2963081152
    26  -0.0014561798  0.0064431850  0.2873965319
    27   0.1526012680  0.0720284089 -0.0120921560
    28   0.1460876465 -0.0691579352  0.0082891002
    29  -0.1431337383 -0.0742519104  0.0159789547
    30  -0.1494335707  0.0764485129 -0.0047262827
    31   0.0050404234 -0.0046560115  0.1257895537
    32   0.0019319355  0.0022809856 -0.1008857032
    33  -0.0019817753  0.0137565863 -0.0285848474
    34  -0.0020265556  0.0132544404 -0.0329955600
    35  -0.0005953216  0.0040280509 -0.0076482972
    36  -0.0006236254  0.0040409978 -0.0103486301
    37  -0.0005650578  0.0040476729 -0.0076044382
    38  -0.0005741619  0.0040810498 -0.0103133464
 n=     8 A   IR&R
     hbarW=  0.24916542E-03 Ha =  0.67801358E-02 eV; nu=  0.54685489E+02 cm^-1
    17  -0.0199127208  0.0010699106 -0.1758686669
    18  -0.0313733542 -0.0010067904  0.1755621843
    19  -0.1270926253 -0.0055927479  0.0012296926
    20  -0.1273705763  0.0067102508  0.0014952944
    21  -0.0617497491  0.0031590343 -0.3541242208
    22  -0.0495552866 -0.0021647918  0.3356567561
    23   0.0651937513  0.0061541602  0.0013963845
    24   0.0663715104 -0.0050649720  0.0034873768
    25  -0.2898348131 -0.0005509669  0.0022872405
    26  -0.0614826410 -0.0015669332 -0.0004013162
    27   0.0220175139 -0.2494607625 -0.2053795920
    28   0.0268806648  0.2534082673 -0.2081220257
    29   0.0213035094 -0.2453939629  0.2047203642
    30   0.0269048044  0.2443565215  0.2034502836
    31   0.3174789306  0.0034242549  0.0023375144
    32   0.2052537506  0.0034624966  0.0080711982
    33   0.0332549438  0.0045909924  0.0029615648
    34   0.0327316645  0.0045860762  0.0023361833
    35   0.0087603032  0.0011396398 -0.0093221586
    36   0.0084837406  0.0013632226 -0.0097916887
    37   0.0085866143  0.0015784923  0.0112114739
    38   0.0082916088  0.0013665738  0.0107744010
 n=     9 A   IR&R
     hbarW=  0.25920401E-03 Ha =  0.70532998E-02 eV; nu=  0.56888705E+02 cm^-1
    17   0.0124538623 -0.0028804696  0.0126191422
    18  -0.0102506165 -0.0059959747  0.0084800906
    19  -0.0003021151 -0.0704634087  0.1814478503
    20   0.0049896871 -0.0320628774 -0.1584293056
    21  -0.0178872918 -0.0737576611 -0.0176144078
    22   0.0186346749 -0.0693552743 -0.0219913136
    23   0.0001310844 -0.0147421326  0.0872269807
    24  -0.0006689222 -0.0398285540 -0.0831288162
    25   0.0031816726 -0.2096856137  0.0041433726
    26   0.0006508744 -0.1713339404 -0.0040261015
    27  -0.2214155635 -0.0327885803 -0.0968174523
    28   0.2253008309 -0.0235595882  0.1034967423
    29  -0.2261622497 -0.0190398380  0.0981018970
    30   0.2226570488 -0.0366833606 -0.1000766351
    31  -0.0019844560  0.1246744249  0.0164819025
    32  -0.0026170128  0.2588352603 -0.0186443770
    33  -0.0129995373  0.4600987018  0.0357804301
    34  -0.0020971739  0.4604791063 -0.0553585888
    35  -0.0051585908  0.1391134765  0.0275361153
    36   0.0006860300  0.1390566109 -0.0335061823
    37  -0.0054163650  0.1348744389  0.0290724694
    38   0.0006203827  0.1352402674 -0.0327862389
 n=    10 A   IR&R
     hbarW=  0.27988000E-03 Ha =  0.76159220E-02 eV; nu=  0.61426560E+02 cm^-1
    17   0.0767023693 -0.0006763971  0.1961056886
    18  -0.0710981598 -0.0008940494  0.1813834795
    19   0.0053781609 -0.2364226400  0.2606703774
    20   0.0038973447  0.2426294216  0.2725110089
    21  -0.2409678484  0.0073663205 -0.2909383420
    22   0.2444792871  0.0076744334 -0.3029505252
    23   0.0006193690  0.1358627010 -0.1230983727
    24   0.0011473104 -0.1289153796 -0.1052979178
    25   0.0082025468  0.0189631582 -0.0255390879
    26  -0.0017357665  0.0166114692 -0.0105433542
    27   0.1011440416 -0.1055091603  0.0157002202
    28   0.0715581496  0.1133146220  0.0005591765
    29  -0.0663510183  0.1139884519 -0.0074920423
    30  -0.0966718858 -0.1059999071  0.0098926926
    31   0.0009332083 -0.0086409581  0.3551889044
    32   0.0044740177 -0.0173044510 -0.2641947413
    33  -0.0088093008 -0.0265074994 -0.1127273643
    34  -0.0096337964 -0.0226551687 -0.1095317523
    35  -0.0025784745 -0.0073759339 -0.0293784742
    36  -0.0030260044 -0.0075333184 -0.0268554875
